,text,BIO_anno
0,挺快的了，我是8月底下的卡，今年51提的。,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O B-PRODUCT O O O O O O O O
1,我显示汇总过高了，今天下了中信4万，准备把招商注销了,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-BANK I-BANK O O O O O O B-BANK I-BANK B-COMMENTS_N I-COMMENTS_N O
2,刷超市银行利润低,O O O O O O O B-COMMENTS_ADJ
3,你这个网速是怎么加的呢，慢死了,O O O O O O O O O O O O B-COMMENTS_ADJ O O
4,我12月份下的卡，一直有临额今天到期临时额度没有了，这个月刚好是调额月，怕进黑屋,O O O O O O O B-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O
5,中信没用啊，中信是我下次要消的,B-BANK I-BANK O O O O B-BANK I-BANK O O O O O O O
6,我是2021年下卡得，然后上上个月临时，这个月提2000,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O
7,恭喜恭喜，小招终究是想起你了！,B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O
8,工行20K-100K，2016.03~2016.06,B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O O O
9,lz分过期吗,O O O O O O
10,稳妥掌上生活看额度,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_N I-COMMENTS_N
11,掌上生活看,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O
12,稳不稳啊，各位老哥，账单分期前几天还有的，现在没了,B-COMMENTS_ADJ O B-COMMENTS_ADJ O O O O O O O B-COMMENTS_N I-COMMENTS_N B-PRODUCT I-PRODUCT O O O O O O O O O O O
13,目测可达2.9万。浦发的首卡,O O O O O O O O O B-BANK I-BANK O B-PRODUCT I-PRODUCT
14,我半年提一次，现在额度还比较好了,O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ O
15,卧槽，为了给你看图刚点分期变成213了，之前一直是QB9。看图,O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O
