,index,id,text,BIO_anno,class
0,1505,1505,挺快的了，我是8月底下的卡，今年51提的。,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O B-PRODUCT O O O O O O O O,2
1,1506,1506,我显示汇总过高了，今天下了中信4万，准备把招商注销了,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-BANK I-BANK O O O O O O B-BANK I-BANK B-COMMENTS_N I-COMMENTS_N O,2
2,1507,1507,刷超市银行利润低,O O O O O O O B-COMMENTS_ADJ,2
3,1508,1508,你这个网速是怎么加的呢，慢死了,O O O O O O O O O O O O B-COMMENTS_ADJ O O,2
4,1509,1509,我12月份下的卡，一直有临额今天到期临时额度没有了，这个月刚好是调额月，怕进黑屋,O O O O O O O B-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O,2
5,1510,1510,中信没用啊，中信是我下次要消的,B-BANK I-BANK O O O O B-BANK I-BANK O O O O O O O,2
6,1511,1511,我是2021年下卡得，然后上上个月临时，这个月提2000,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O,2
7,1512,1512,恭喜恭喜，小招终究是想起你了！,B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O,1
8,1513,1513,工行20K-100K，2016.03~2016.06,B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O O O,2
9,1514,1514,lz分过期吗,O O O O O O,2
10,1515,1515,稳妥掌上生活看额度,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_N I-COMMENTS_N,2
11,1516,1516,掌上生活看,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O,2
12,1517,1517,稳不稳啊，各位老哥，账单分期前几天还有的，现在没了,B-COMMENTS_ADJ O B-COMMENTS_ADJ O O O O O O O B-COMMENTS_N I-COMMENTS_N B-PRODUCT I-PRODUCT O O O O O O O O O O O,2
13,1518,1518,目测可达2.9万。浦发的首卡,O O O O O O O O O B-BANK I-BANK O B-PRODUCT I-PRODUCT,2
14,1519,1519,我半年提一次，现在额度还比较好了,O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ O,2
15,1520,1520,卧槽，为了给你看图刚点分期变成213了，之前一直是QB9。看图,O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O,2
16,1521,1521,再给你补一张，不同入口进入代码还不一样，我也是笑了，不靠谱啊,O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O,0
