char,id
<PAD>,0
<UNK>,1
，,2
的,3
了,4
是,5
不,6
卡,7
我,8
。,9
0,10
有,11
行,12
一,13
额,14
.,15
还,16
个,17
没,18
就,19
用,20
信,21
？,22
你,23
这,24
度,25
1,26
么,27
?,28
期,29
都,30
也,31
提,32
要,33
分,34
多,35
以,36
申,37
到,38
在,39
下,40
金,41
可,42
2,43
能,44
年,45
银,46
请,47
过,48
好,49
上,50
5,51
万,52
月,53
说,54
天,55
吗,56
工,57
3,58
来,59
后,60
大,61
时,62
现,63
看,64
白,65
会,66
点,67
话,68
去,69
商,70
啊,71
给,72
吧,73
招,74
费,75
中,76
办,77
人,78
次,79
前,80
发,81
问,82
电,83
样,84
打,85
6,86
出,87
那,88
款,89
刷,90
批,91
很,92
定,93
贷,94
什,95
理,96
网,97
只,98
高,99
8,100
最,101
直,102
4,103
几,104
销,105
他,106
活,107
经,108
接,109
！,110
单,111
然,112
资,113
怎,114
才,115
本,116
道,117
生,118
征,119
建,120
通,121
钱,122
账,123
三,124
知,125
户,126
借,127
为,128
收,129
已,130
和,131
面,132
张,133
等,134
开,135
业,136
少,137
想,138
两,139
积,140
里,141
心,142
付,143
小,144
息,145
低,146
k,147
地,148
临,149
再,150
手,151
审,152
无,153
逾,154
得,155
查,156
拒,157
如,158
动,159
消,160
客,161
之,162
果,163
交,164
算,165
利,166
9,167
自,168
实,169
被,170
太,171
别,172
7,173
机,174
每,175
刚,176
比,177
服,178
全,179
激,180
但,181
试,182
民,183
示,184
二,185
号,186
意,187
快,188
老,189
应,190
p,191
该,192
主,193
今,194
成,195
平,196
第,197
种,198
正,199
回,200
起,201
当,202
固,203
注,204
秒,205
w,206
进,207
作,208
公,209
显,210
新,211
对,212
们,213
明,214
啥,215
家,216
其,217
所,218
支,219
降,220
候,221
呢,222
e,223
续,224
哪,225
结,226
准,227
着,228
免,229
需,230
方,231
真,232
…,233
基,234
五,235
浦,236
同,237
员,238
完,239
安,240
诉,241
、,242
名,243
法,244
半,245
证,246
首,247
间,248
率,249
些,250
题,251
又,252
房,253
黑,254
短,255
难,256
十,257
搞,258
把,259
记,260
久,261
清,262
广,263
兴,264
线,265
换,266
常,267
a,268
协,269
财,270
让,271
己,272
笔,273
农,274
加,275
放,276
子,277
或,278
于,279
哥,280
觉,281
取,282
情,283
总,284
码,285
日,286
哈,287
-,288
系,289
标,290
调,291
部,292
从,293
先,294
跟,295
融,296
错,297
计,298
K,299
保,300
因,301
事,302
找,303
存,304
买,305
务,306
国,307
质,308
债,309
核,310
优,311
W,312
做,313
门,314
数,315
反,316
储,317
签,318
四,319
推,320
车,321
楼,322
入,323
者,324
千,325
位,326
外,327
负,328
 ,329
限,330
管,331
拿,332
近,333
更,334
元,335
关,336
般,337
填,338
水,339
投,340
宝,341
易,342
周,343
P,344
星,345
产,346
像,347
录,348
确,349
头,350
合,351
感,352
便,353
较,354
花,355
级,356
重,357
转,358
功,359
盾,360
砖,361
而,362
体,363
它,364
份,365
享,366
告,367
授,368
微,369
况,370
性,371
制,372
坑,373
稳,374
百,375
差,376
联,377
邮,378
求,379
谢,380
%,381
蓄,382
备,383
代,384
影,385
六,386
）,387
喜,388
留,389
普,390
估,391
解,392
件,393
:,394
块,395
必,396
条,397
绝,398
够,399
询,400
连,401
复,402
呀,403
（,404
慢,405
+,406
昨,407
益,408
怕,409
目,410
议,411
光,412
原,413
界,414
思,415
按,416
变,417
响,418
倍,419
字,420
权,421
毛,422
套,423
东,424
持,425
内,426
扣,427
越,428
干,429
闪,430
妈,431
料,432
养,433
邀,434
身,435
预,436
力,437
容,438
超,439
共,440
满,441
：,442
统,443
撸,444
气,445
风,446
片,447
哦,448
流,449
失,450
处,451
见,452
除,453
菜,454
且,455
升,456
长,457
值,458
址,459
改,460
冻,461
效,462
区,463
柜,464
币,465
A,466
使,467
早,468
选,469
特,470
台,471
操,472
整,473
拉,474
欠,475
步,476
听,477
肯,478
i,479
u,480
惠,481
至,482
始,483
格,484
右,485
随,486
何,487
约,488
政,489
送,490
挺,491
荐,492
掉,493
化,494
嘛,495
望,496
类,497
减,498
设,499
帮,500
报,501
鸡,502
认,503
毕,504
友,505
任,506
访,507
左,508
云,509
论,510
曲,511
照,512
异,513
咋,514
非,515
险,516
控,517
属,518
司,519
据,520
初,521
器,522
写,523
社,524
卖,525
相,526
",",527
烦,528
考,529
海,530
带,531
羊,532
速,533
规,534
供,535
路,536
马,537
靠,538
害,539
累,540
表,541
受,542
概,543
学,544
欢,545
简,546
香,547
州,548
底,549
市,550
死,551
E,552
懂,553
致,554
华,555
寄,556
美,557
屋,558
终,559
空,560
严,561
强,562
程,563
晚,564
精,565
担,566
急,567
密,568
~,569
叫,570
段,571
希,572
呗,573
座,574
兄,575
封,576
根,577
口,578
敢,579
折,580
立,581
京,582
佬,583
剩,584
隔,585
弟,586
决,587
达,588
双,589
悠,590
走,591
监,592
坛,593
c,594
谁,595
省,596
住,597
o,598
具,599
七,600
八,601
麻,602
虑,603
店,604
须,605
楚,606
赚,607
亏,608
油,609
扫,610
航,611
呆,612
梦,613
图,614
遇,615
_,616
您,617
边,618
s,619
石,620
钟,621
败,622
帖,623
挂,624
专,625
弄,626
顶,627
玩,628
l,629
各,630
似,631
破,632
并,633
钻,634
催,635
余,636
绑,637
版,638
神,639
参,640
涨,641
价,642
券,643
未,644
指,645
恶,646
即,647
另,648
品,649
量,650
耐,651
运,652
U,653
圆,654
西,655
典,656
倒,657
贵,658
答,659
频,660
验,661
划,662
铁,663
紧,664
充,665
足,666
她,667
午,668
继,669
竟,670
鼎,671
掌,672
赶,673
由,674
此,675
忽,676
配,677
包,678
谓,679
否,680
与,681
待,682
停,683
占,684
姐,685
领,686
兑,687
汇,688
止,689
恢,690
式,691
义,692
态,693
戏,694
票,695
判,696
深,697
故,698
恭,699
补,700
谱,701
秀,702
儿,703
n,704
适,705
教,706
修,707
则,708
；,709
幅,710
夏,711
抵,712
朋,713
返,714
t,715
鸟,716
薅,717
居,718
奇,719
逼,720
葵,721
牛,722
m,723
吃,724
C,725
助,726
延,727
书,728
弃,729
哎,730
均,731
缺,732
私,733
谈,734
v,735
x,736
班,737
导,738
帐,739
“,740
福,741
九,742
球,743
;,744
势,745
慌,746
翻,747
吓,748
良,749
城,750
细,751
择,752
忘,753
营,754
丰,755
货,756
团,757
传,758
物,759
测,760
拖,761
r,762
d,763
堂,764
虽,765
零,766
洗,767
醒,768
野,769
—,770
(,771
场,772
～,773
冲,774
退,775
”,776
假,777
硬,778
截,779
爱,780
南,781
M,782
众,783
英,784
脸,785
静,786
依,787
骗,788
某,789
语,790
及,791
违,792
误,793
山,794
亲,795
突,796
忙,797
独,798
S,799
北,800
龙,801
妥,802
印,803
怪,804
厉,805
官,806
b,807
暂,808
　,809
向,810
礼,811
碰,812
介,813
税,814
购,815
递,816
远,817
符,818
疑,819
院,820
视,821
肖,822
/,823
构,824
坐,825
宁,826
波,827
Q,828
B,829
离,830
跳,831
评,832
y,833
g,834
搬,835
拍,836
键,837
插,838
乎,839
击,840
页,841
抽,842
顺,843
维,844
呵,845
I,846
垃,847
增,848
贴,849
嗯,850
集,851
江,852
站,853
焦,854
渠,855
例,856
乐,857
遍,858
红,859
环,860
宫,861
股,862
貌,863
宽,864
策,865
姿,866
D,867
案,868
凉,869
嘿,870
繁,871
断,872
圾,873
置,874
N,875
警,876
丢,877
境,878
端,879
往,880
护,881
输,882
·,883
笑,884
刁,885
狗,886
讲,887
{,888
},889
搜,890
历,891
尔,892
L,893
饭,894
热,895
努,896
战,897
执,898
永,899
牌,900
羡,901
慕,902
捷,903
圳,904
极,905
圈,906
诈,907
虚,908
文,909
际,910
夫,911
罚,912
瞎,913
废,914
),915
伤,916
婆,917
详,918
坚,919
爆,920
状,921
困,922
惨,923
眼,924
蛮,925
阶,926
藏,927
富,928
轻,929
象,930
滴,931
啦,932
项,933
音,934
佛,935
卵,936
鬼,937
装,938
承,939
纳,940
厅,941
习,942
纯,943
[,944
],945
校,946
恒,947
腾,948
售,949
德,950
识,951
阵,952
T,953
朝,954
军,955
净,956
佩,957
怀,958
仇,959
将,960
句,961
移,962
师,963
飞,964
慎,965
归,966
牙,967
咯,968
医,969
色,970
尝,971
抢,972
犀,973
雅,974
究,975
堆,976
讨,977
束,978
言,979
磨,980
局,981
排,982
列,983
宜,984
冷,985
阿,986
【,987
】,988
唯,989
缓,990
彩,991
蛋,992
尽,993
损,994
聊,995
O,996
病,997
职,998
苏,999
律,1000
纸,1001
声,1002
俩,1003
锁,1004
展,1005
闭,1006
蓝,1007
幸,1008
懵,1009
甚,1010
企,1011
尊,1012
仅,1013
润,1014
槽,1015
编,1016
脑,1017
载,1018
扯,1019
旅,1020
哇,1021
透,1022
守,1023
附,1024
盖,1025
跑,1026
缀,1027
室,1028
黄,1029
偶,1030
链,1031
昭,1032
f,1033
压,1034
乱,1035
略,1036
奖,1037
讯,1038
拜,1039
距,1040
缴,1041
许,1042
凌,1043
晨,1044
J,1045
休,1046
括,1047
凭,1048
傻,1049
检,1050
模,1051
舒,1052
齐,1053
缘,1054
露,1055
